N	V	V1
1089000	73470	37623
1090000	73490	37631
1091000	73521	37641
1092000	73542	37648
1093000	73580	37673
1094000	73627	37706
1095000	73661	37723
1096000	73690	37736
1097000	73721	37752
1098000	73750	37770
1099000	73774	37780
1100000	73807	37791
1101000	73835	37800
1102000	73868	37820
1103000	73887	37830
1104000	73916	37843
1105000	73945	37853
1106000	73963	37862
1107000	74003	37881
1108000	74042	37908
1109000	74077	37923
1110000	74123	37950
1111000	74164	37972
1112000	74199	37991
1113000	74220	38002
1114000	74255	38030
1115000	74280	38044
1116000	74303	38054
1117000	74326	38062
1118000	74353	38077
1119000	74377	38088
1120000	74418	38110
1121000	74461	38133
1122000	74501	38164
1123000	74533	38185
1124000	74565	38191
1125000	74613	38217
1126000	74648	38233
1127000	74666	38231
1128000	74699	38247
1129000	74728	38252
1130000	74763	38267
1131000	74789	38275
1132000	74829	38293
1133000	74864	38306
1134000	74898	38325
1135000	74957	38364
1136000	75005	38394
1137000	75037	38404
1138000	75076	38420
1139000	75108	38427
1140000	75131	38432
1141000	75145	38435
1142000	75180	38457
1143000	75217	38473
1144000	75245	38494
1145000	75269	38510
1146000	75287	38511
1147000	75312	38529
1148000	75340	38535
1149000	75372	38550
1150000	75403	38566
1151000	75440	38583
1152000	75478	38604
1153000	75509	38608
1154000	75562	38629
1155000	75607	38651
1156000	75639	38666
1157000	75671	38683
1158000	75705	38696
1159000	75756	38729
1160000	75825	38772
1161000	75872	38797
1162000	75899	38806
1163000	75929	38822
1164000	75985	38852
1165000	76091	38917
1166000	76125	38930
1167000	76153	38946
1168000	76188	38962
1169000	76212	38966
1170000	76248	38988
1171000	76280	39011
1172000	76309	39028
1173000	76346	39043
1174000	76374	39060
1175000	76400	39067
1176000	76419	39071
1177000	76456	39100
1178000	76476	39107
1179000	76498	39110
1180000	76538	39125
1181000	76563	39139
1182000	76606	39161
1183000	76631	39169
1184000	76664	39189
1185000	76711	39219
1186000	76758	39245
1187000	76786	39257
1188000	76829	39266
1189000	76891	39301
1190000	76944	39329
1191000	76994	39361
1192000	77048	39385
1193000	77119	39423
1194000	77177	39457
1195000	77235	39494
1196000	77275	39505
1197000	77330	39546
1198000	77363	39558
1199000	77407	39586
1200000	77453	39615
1201000	77483	39625
1202000	77522	39636
1203000	77563	39653
1204000	77601	39659
1205000	77629	39675
1206000	77668	39703
1207000	77699	39720
1208000	77718	39733
1209000	77740	39743
1210000	77795	39782
1211000	77823	39798
1212000	77856	39823
1213000	77895	39840
1214000	77924	39853
1215000	77942	39866
1216000	77971	39885
1217000	78000	39900
1218000	78036	39926
1219000	78076	39946
1220000	78112	39962
1221000	78149	39974
1222000	78205	40016
1223000	78247	40030
1224000	78275	40040
1225000	78327	40063
1226000	78366	40080
1227000	78412	40112
1228000	78455	40130
1229000	78497	40149
1230000	78531	40167
1231000	78556	40178
1232000	78592	40190
1233000	78617	40200
1234000	78655	40221
1235000	78691	40244
1236000	78724	40262
1237000	78752	40273
1238000	78794	40298
1239000	78832	40314
1240000	78872	40334
1241000	78914	40361
1242000	78940	40376
1243000	78960	40386
1244000	78992	40407
1245000	79047	40450
1246000	79087	40465
1247000	79137	40489
1248000	79186	40519
1249000	79230	40540
1250000	79260	40552
1251000	79304	40582
1252000	79345	40600
1253000	79383	40620
1254000	79436	40647
1255000	79483	40670
1256000	79529	40692
1257000	79577	40725
1258000	79631	40758
1259000	79673	40786
1260000	79704	40803
1261000	79742	40828
1262000	79773	40839
1263000	79819	40869
1264000	79863	40894
1265000	79890	40902
1266000	79938	40937
1267000	79984	40965
1268000	80025	40991
1269000	80047	41005
1270000	80080	41018
1271000	80115	41039
1272000	80141	41043
1273000	80168	41054
1274000	80194	41065
1275000	80217	41068
1276000	80239	41075
1277000	80263	41093
1278000	80297	41113
1279000	80341	41127
1280000	80395	41151
1281000	80432	41164
1282000	80465	41182
1283000	80486	41194
1284000	80517	41209
1285000	80553	41223
1286000	80584	41245
1287000	80610	41259
